Setup	Class	Attack	Avg (m)	Root Motion (m)	Attack Extension (m)	Estimated Startup (ms)	Estimated Startup (frames @ 30fps)	Speed to Active (m/s)	Min (m)	Max (m)	SD	Sample Size	Notes	Frame Data
Miquellan Knight's Sword	Straight Sword	1h Charged R2 1	5.289	3.468	1.821	1170	36	4.52	5.261	5.294	0.01	13	Weapons: 2200000	a112_030500
Miquellan Knight's Sword	Straight Sword	1h R2 1 Release	3.873	2.046	1.827	812	25	4.77	3.871	3.875	0.001	14	Weapons: 2200000	a112_030505
Miquellan Knight's Sword	Straight Sword	1h Charged R2 2	1.728				1		1.725	1.733	0.003	5	Weapons: 2200000	a112_030510
Miquellan Knight's Sword	Straight Sword	1h R2 2 Release	2.73				1		2.727	2.74	0.005	5	Weapons: 2200000	a112_030515
Miquellan Knight's Sword	Straight Sword	2h R1 1	3.644	1.934	1.71	453	14	8.04	3.644	3.646	0.001	26	Weapons: 2200000	a023_032000
Miquellan Knight's Sword	Straight Sword	2h Running R1	5.379	3.981	1.398	549	17	9.8	5.353	5.406	0.019	15	Weapons: 2200000	a023_032200
Miquellan Knight's Sword	Straight Sword	2h Running R2	5.732	4.121	1.611	605	19	9.47	5.719	5.741	0.009	11	Weapons: 2200000	a023_032210
Miquellan Knight's Sword	Straight Sword	2h Crouch R1	3.701	1.662	2.039	373	12	9.92	3.692	3.723	0.009	29	Weapons: 2200000	a023_032310
Miquellan Knight's Sword	Straight Sword	2h Charged R2 1	5.212	3.396	1.816	1174	36	4.44	5.203	5.214	0.003	9	Weapons: 2200000	a112_032500
Miquellan Knight's Sword	Straight Sword	2h R2 1 Release	3.447	1.691	1.756	807	25	4.27	3.445	3.448	0.001	7	Weapons: 2200000	a112_032505
Miquellan Knight's Sword+Miquellan Knight's Sword	Straight Sword	Paired L1 1	4.154	2.19	1.964	451	14	9.21	4.15	4.171	0.008	8	Weapons: 2200000 2200000	a023_034000
Miquellan Knight's Sword+Miquellan Knight's Sword	Straight Sword	Paired Running L1	6.939	5.217	1.722	604	19	11.49	6.927	6.944	0.007	4	Weapons: 2200000 2200000	a023_034200
Miquellan Knight's Sword+Miquellan Knight's Sword	Straight Sword	Paired Crouch L1	3.725	1.753	1.973	408	13	9.13	3.718	3.732	0.007	4	Weapons: 2200000 2200000	a023_034310
Miquellan Knight's Sword	Straight Sword	Offhand L1 1	3.893	2.318	1.575	467	15	8.34	3.892	3.895	0.001	6	Weapons: 2200000	a023_035000
Miquellan Knight's Sword	Straight Sword	Unblockable Blade - Slash (Sacred Blade), Mists of Slumber - Mist Throw (Sacred Blade), Poisonous Mist - Mist Spray (Sacred Blade), Chilling Mist - Mist Spray (Sacred Blade), Sacred Blade - Slash	4.999	2.895	2.104	1148	35	4.35	4.994	5.006	0.005	3	Weapons: 2200000	a651_040000
Cane Sword	Straight Sword	1h R1 1	3.768	1.854	1.914	460	14	8.19	3.751	3.77	0.004	63	Weapons: 2210000	a023_030000
Cane Sword	Straight Sword	1h R1 2	2.819				1		2.797	2.888	0.023	11	Weapons: 2210000	a023_030010
Cane Sword	Straight Sword	1h R1 3	3.028				1		2.994	3.062	0.034	2	Weapons: 2210000	a023_030020
Cane Sword	Straight Sword	1h R1 4	2.609				1		2.609	2.609	0	1	Weapons: 2210000	a023_030030
Cane Sword	Straight Sword	1h R1 5	3.342				1		3.342	3.342	0	1	Weapons: 2210000	a023_030040
Cane Sword	Straight Sword	1h Running R1	5.003	3.868	1.135	534	17	9.37	4.976	5.012	0.014	11	Weapons: 2210000	a023_030200
Cane Sword	Straight Sword	1h Running R2	5.501	3.846	1.655	583	18	9.44	5.485	5.515	0.01	11	Weapons: 2210000	a023_030210
Cane Sword	Straight Sword	1h Rolling R1	3.023	1.521	1.501	311	10	9.72	2.982	3.035	0.012	18	Weapons: 2210000	a110_030300
Cane Sword	Straight Sword	1h Charged R2 1	4.427	2.604	1.823	1398	42	3.17	4.394	4.432	0.013	7	Weapons: 2210000	a110_030500
Cane Sword	Straight Sword	1h R2 1 Release	4.035	2.11	1.926	844	26	4.78	3.975	4.055	0.025	7	Weapons: 2210000	a110_030505
Cane Sword	Straight Sword	2h R1 1	3.531	1.94	1.591	471	15	7.5	3.498	3.54	0.005	73	Weapons: 2210000	a023_032000
Cane Sword	Straight Sword	2h Running R1	5.254	3.574	1.68	549	17	9.57	5.212	5.286	0.021	14	Weapons: 2210000	a023_032200
Cane Sword	Straight Sword	2h Running R2	5.604	4.154	1.45	603	19	9.29	5.55	5.63	0.022	12	Weapons: 2210000	a023_032210
Cane Sword	Straight Sword	2h Rolling R1	2.893	1.451	1.442	314	10	9.21	2.88	2.928	0.015	8	Weapons: 2210000	a110_032300
Cane Sword	Straight Sword	2h Charged R2 1	3.991	2.206	1.785	1298	39	3.08	3.988	4.002	0.005	6	Weapons: 2210000	a023_032500
Cane Sword	Straight Sword	2h R2 1 Release	4.001	2.198	1.804	725	22	5.52	4	4.003	0.001	10	Weapons: 2210000	a023_032505
Cane Sword+Cane Sword	Straight Sword	Paired L1 1	4.047	2.192	1.855	447	14	9.05	4.042	4.073	0.01	8	Weapons: 2210000 2210000	a023_034000
Cane Sword+Cane Sword	Straight Sword	Paired Running L1	6.853	5.22	1.633	600	19	11.42	6.852	6.855	0.001	4	Weapons: 2210000 2210000	a023_034200
Cane Sword+Cane Sword	Straight Sword	Paired Crouch L1	3.615	1.752	1.863	411	13	8.8	3.605	3.623	0.008	4	Weapons: 2210000 2210000	a023_034310
Cane Sword	Straight Sword	Offhand L1 1	3.776	2.318	1.458	470	15	8.03	3.776	3.776	0	6	Weapons: 2210000	a023_035000
Cane Sword	Straight Sword	Square Off - Upward Slash	3.847	2.342	1.505	512	16	7.51	3.846	3.848	0.001	2	Weapons: 2210000	a615_040060
Cane Sword	Straight Sword	Square Off - Thrust	5.436	3.779	1.657	812	25	6.7	5.413	5.46	0.023	2	Weapons: 2210000	a615_040070
Regalia of Eochaid	Straight Sword	1h R1 1	3.794	1.873	1.921	466	14	8.14	3.773	3.798	0.004	83	Weapons: 2220000	a023_030000
Regalia of Eochaid	Straight Sword	1h R1 2	2.858	0.968	1.89		1		2.794	2.913	0.032	21	Weapons: 2220000	a023_030010
Regalia of Eochaid	Straight Sword	1h R1 3	3.043				1		3.005	3.067	0.025	4	Weapons: 2220000	a023_030020
Regalia of Eochaid	Straight Sword	1h R1 4	2.632				1		2.632	2.632	0	1	Weapons: 2220000	a023_030030
Regalia of Eochaid	Straight Sword	1h R1 5	3.453				1		3.453	3.453	0	1	Weapons: 2220000	a023_030040
Regalia of Eochaid	Straight Sword	1h Running R1	5.002	3.839	1.163	536	17	9.33	4.965	5.037	0.019	16	Weapons: 2220000	a023_030200
Regalia of Eochaid	Straight Sword	1h Running R2	5.524	3.924	1.6	581	18	9.51	5.474	5.542	0.021	20	Weapons: 2220000	a023_030210
Regalia of Eochaid	Straight Sword	1h Crouch R1	4.039	1.935	2.105	370	12	10.92	4.033	4.047	0.005	23	Weapons: 2220000	a023_030310
Regalia of Eochaid	Straight Sword	1h Charged R2 1	4.345	2.296	2.049	1171	36	3.71	4.343	4.349	0.002	8	Weapons: 2220000	a023_030500
Regalia of Eochaid	Straight Sword	1h R2 1 Release	3.973	2.003	1.97	648	20	6.13	3.966	3.99	0.009	6	Weapons: 2220000	a023_030505
Regalia of Eochaid	Straight Sword	2h R1 1	3.559	1.934	1.625	464	14	7.67	3.558	3.581	0.005	24	Weapons: 2220000	a023_032000
Regalia of Eochaid	Straight Sword	2h Running R1	5.291	4.004	1.287	549	17	9.64	5.24	5.315	0.023	13	Weapons: 2220000	a023_032200
Regalia of Eochaid	Straight Sword	2h Running R2	5.634	4.12	1.514	603	19	9.34	5.529	5.662	0.033	13	Weapons: 2220000	a023_032210
Regalia of Eochaid	Straight Sword	2h Crouch R1	3.609	1.659	1.949	373	12	9.67	3.604	3.62	0.006	13	Weapons: 2220000	a023_032310
Regalia of Eochaid	Straight Sword	2h Charged R2 1	4.02	2.505	1.515	1299	39	3.09	4.015	4.049	0.01	9	Weapons: 2220000	a023_032500
Regalia of Eochaid	Straight Sword	2h R2 1 Release	4.03	2.294	1.736	721	22	5.59	4.027	4.039	0.004	7	Weapons: 2220000	a023_032505
Regalia of Eochaid+Regalia of Eochaid	Straight Sword	Paired L1 1	4.07	2.19	1.88	452	14	9	4.067	4.086	0.006	8	Weapons: 2220000 2220000	a023_034000
Regalia of Eochaid+Regalia of Eochaid	Straight Sword	Paired Running L1	6.874	5.214	1.66	620	19	11.09	6.857	6.906	0.02	4	Weapons: 2220000 2220000	a023_034200
Regalia of Eochaid+Regalia of Eochaid	Straight Sword	Paired Crouch L1	3.64	1.751	1.889	402	13	9.05	3.635	3.649	0.006	4	Weapons: 2220000 2220000	a023_034310
Regalia of Eochaid	Straight Sword	Offhand L1 1	3.792	2.318	1.474	466	14	8.14	3.722	3.803	0.029	7	Weapons: 2220000	a023_035000
Regalia of Eochaid	Straight Sword	Eochaid's Dancing Blade - Charged Corkscrew	7.139	3.662	3.477	1529	46	4.67	7.135	7.143	0.003	11	Weapons: 2220000	a812_040000
Regalia of Eochaid	Straight Sword	Eochaid's Dancing Blade - Uncharged Corkscrew	4.12	2.748	1.372	432	13	9.54	4.12	4.12	0	1	Weapons: 2220000	a812_040001
Noble's Slender Sword	Straight Sword	1h R1 1	3.931	1.764	2.166	460	14	8.54	3.922	3.932	0.002	552	Weapons: 2230000	a023_030000
Noble's Slender Sword	Straight Sword	1h R1 2	2.988	0.965	2.023	320	10	9.34	2.961	3.047	0.021	61	Weapons: 2230000	a023_030010
Noble's Slender Sword	Straight Sword	1h R1 3	3.202				1		3.122	3.265	0.028	27	Weapons: 2230000	a023_030020
Noble's Slender Sword	Straight Sword	1h R1 4	2.792				1		2.767	2.942	0.045	16	Weapons: 2230000	a023_030030
Noble's Slender Sword	Straight Sword	1h R1 5	3.582				1		3.507	3.604	0.029	10	Weapons: 2230000	a023_030040
Noble's Slender Sword	Straight Sword	1h Running R1	5.23	3.922	1.308	526	16	9.94	5.148	5.317	0.056	32	Weapons: 2230000	a023_030200
Noble's Slender Sword	Straight Sword	1h Running R2	5.701	3.793	1.908	584	18	9.76	5.656	5.83	0.054	13	Weapons: 2230000	a023_030210
Noble's Slender Sword	Straight Sword	1h Crouch R1	4.18	1.919	2.26	367	12	11.39	4.152	4.189	0.007	36	Weapons: 2230000	a023_030310
Noble's Slender Sword	Straight Sword	1h Charged R2 1	4.488	2.291	2.197	1166	35	3.85	4.486	4.497	0.004	7	Weapons: 2230000	a023_030500
Noble's Slender Sword	Straight Sword	1h R2 1 Release	4.118	1.942	2.176	648	20	6.36	4.108	4.14	0.01	38	Weapons: 2230000	a023_030505
Noble's Slender Sword	Straight Sword	2h R1 1	3.696	34.376		451	14		3.687	3.721	0.005	52	Weapons: 2230000	a023_032000
Noble's Slender Sword	Straight Sword	2h Running R1	5.427	3.673	1.754	596	18	9.11	5.4	5.46	0.016	14	Weapons: 2230000	a023_032200
Noble's Slender Sword	Straight Sword	2h Running R2	5.781	4.157	1.625	615	19	9.4	5.77	5.793	0.01	14	Weapons: 2230000	a023_032210
Noble's Slender Sword	Straight Sword	2h Crouch R1	3.751	1.67	2.081	377	12	9.95	3.744	3.762	0.008	8	Weapons: 2230000	a023_032310
Noble's Slender Sword	Straight Sword	2h Charged R2 1	4.157	2.206	1.951	1284	39	3.24	4.155	4.159	0.001	14	Weapons: 2230000	a023_032500
Noble's Slender Sword	Straight Sword	2h R2 1 Release	4.167	2.219	1.948	724	22	5.76	4.158	4.171	0.003	13	Weapons: 2230000	a023_032505
Noble's Slender Sword+Noble's Slender Sword	Straight Sword	Paired L1 1	4.2	2.19	2.009	452	14	9.29	4.189	4.228	0.008	54	Weapons: 2230000 2230000	a023_034000
Noble's Slender Sword+Carian Knight's Sword	Straight Sword	Paired L1 1	4.193				1		4.163	4.212	0.011	31	Weapons: 2230000 2180000	a023_034000
Carian Knight's Sword+Noble's Slender Sword	Straight Sword	Paired L1 1	4.168				1		4.133	4.184	0.008	29	Weapons: 2180000 2230000	a023_034000
Noble's Slender Sword+Coded Sword	Straight Sword	Paired L1 1	4.199				1		4.176	4.23	0.008	25	Weapons: 2230000 2110000	a023_034000
Noble's Slender Sword+Noble's Slender Sword	Straight Sword	Paired Running L1	6.984	5.214	1.77	608	19	11.49	6.975	6.992	0.008	4	Weapons: 2230000 2230000	a023_034200
Noble's Slender Sword+Noble's Slender Sword	Straight Sword	Paired Crouch L1	3.776	1.753	2.023	396	12	9.53	3.769	3.783	0.007	4	Weapons: 2230000 2230000	a023_034310
Noble's Slender Sword	Straight Sword	Offhand L1 1	3.946	1.861	2.085	472	15	8.36	3.944	3.95	0.001	23	Weapons: 2230000	a023_035000
Noble's Slender Sword	Straight Sword	Square Off - Upward Slash	4.023	2.346	1.677	524	16	7.68	4.021	4.028	0.003	4	Weapons: 2230000	a615_040060
Noble's Slender Sword	Straight Sword	Square Off - Thrust	5.613	3.784	1.828	805	25	6.97	5.608	5.615	0.003	3	Weapons: 2230000	a615_040070
Warhawk's Talon	Straight Sword	1h R1 1	3.854	1.81	2.044	447	14	8.62	3.833	3.858	0.005	109	Weapons: 2240000	a023_030000
Warhawk's Talon	Straight Sword	1h R1 2	2.898	0.967	1.931		1		2.865	2.923	0.015	13	Weapons: 2240000	a023_030010
Warhawk's Talon	Straight Sword	1h R1 3	3.135				1		3.106	3.178	0.031	3	Weapons: 2240000	a023_030020
Warhawk's Talon	Straight Sword	1h R1 4	2.73				1		2.693	2.75	0.026	3	Weapons: 2240000	a023_030030
Warhawk's Talon	Straight Sword	1h R1 5	3.489				1		3.478	3.503	0.01	3	Weapons: 2240000	a023_030040
Warhawk's Talon	Straight Sword	1h Running R1	5.064	3.84	1.224	531	16	9.54	5.013	5.094	0.02	16	Weapons: 2240000	a023_030200
Warhawk's Talon	Straight Sword	1h Running R2	5.59	3.928	1.662	583	18	9.59	5.565	5.612	0.016	16	Weapons: 2240000	a023_030210
Warhawk's Talon	Straight Sword	1h Crouch R1	4.11	1.938	2.173	376	12	10.93	4.106	4.117	0.004	17	Weapons: 2240000	a023_030310
Warhawk's Talon	Straight Sword	1h Charged R2 1	6.1	4.136	1.964	1001	31	6.09	6.097	6.116	0.006	8	Weapons: 2240000	a117_030500
Warhawk's Talon	Straight Sword	1h R2 1 Release	5.568	3.462	2.106	754	23	7.38	5.564	5.573	0.004	12	Weapons: 2240000	a117_030505
Warhawk's Talon	Straight Sword	2h R1 1	3.621	1.935	1.686	466	14	7.77	3.599	3.639	0.005	35	Weapons: 2240000	a023_032000
Warhawk's Talon	Straight Sword	2h Running R1	5.361	4.009	1.352	546	17	9.82	5.308	5.385	0.025	13	Weapons: 2240000	a023_032200
Warhawk's Talon	Straight Sword	2h Running R2	5.708	4.127	1.581	617	19	9.25	5.692	5.727	0.012	11	Weapons: 2240000	a023_032210
Warhawk's Talon	Straight Sword	2h Crouch R1	3.678	1.662	2.016	368	12	10	3.671	3.687	0.008	15	Weapons: 2240000	a023_032310
Warhawk's Talon	Straight Sword	2h Charged R2 1	6.015	4.102	1.913	1069	33	5.63	6.01	6.016	0.002	12	Weapons: 2240000	a117_032500
Warhawk's Talon	Straight Sword	2h R2 1 Release	5.466	3.414	2.051	752	23	7.27	5.452	5.491	0.015	7	Weapons: 2240000	a117_032505
Warhawk's Talon+Warhawk's Talon	Straight Sword	Paired L1 1	4.126	2.19	1.936	447	14	9.23	4.126	4.127	0	9	Weapons: 2240000 2240000	a023_034000
Warhawk's Talon+Warhawk's Talon	Straight Sword	Paired Running L1	6.924	5.217	1.707	603	19	11.48	6.904	6.952	0.018	4	Weapons: 2240000 2240000	a023_034200
Warhawk's Talon+Warhawk's Talon	Straight Sword	Paired Crouch L1	3.698	1.749	1.949	414	13	8.93	3.694	3.708	0.006	4	Weapons: 2240000 2240000	a023_034310
Warhawk's Talon	Straight Sword	Offhand L1 1	3.851	2.318	1.534	477	15	8.07	3.75	3.872	0.045	6	Weapons: 2240000	a023_035000
Warhawk's Talon	Straight Sword	Magma Shower - Spin (Spin Slash Curved Sword), Spinning Slash - Light Weapon Spin, Spinning Slash 1	4.414	2.313	2.101	616	19	7.17	4.414	4.415	0.001	4	Weapons: 2240000	a603_040000
Warhawk's Talon	Straight Sword	Magma Shower - Slash, Spinning Slash - Light Weapon Double Spin	4.239	2.124	2.115	616	19	6.88	4.22	4.254	0.015	4	Weapons: 2240000	a603_040010
Lazuli Glintstone Sword	Straight Sword	1h R1 1	3.791	1.761	2.03	462	14	8.21	3.765	3.797	0.006	171	Weapons: 2250000	a023_030000
Lazuli Glintstone Sword	Straight Sword	1h R1 2	2.854				1		2.819	2.908	0.03	16	Weapons: 2250000	a023_030010
Lazuli Glintstone Sword	Straight Sword	1h R1 3	3.058				1		3.054	3.065	0.005	3	Weapons: 2250000	a023_030020
Lazuli Glintstone Sword	Straight Sword	1h R1 4	2.631				1		2.63	2.632	0.001	3	Weapons: 2250000	a023_030030
Lazuli Glintstone Sword	Straight Sword	1h R1 5	3.457				1		3.453	3.46	0.003	3	Weapons: 2250000	a023_030040
Lazuli Glintstone Sword	Straight Sword	1h Running R1	5.017	3.867	1.15	532	16	9.43	4.954	5.036	0.026	11	Weapons: 2250000	a023_030200
Lazuli Glintstone Sword	Straight Sword	1h Running R2	5.544	3.837	1.707	583	18	9.51	5.48	5.718	0.055	12	Weapons: 2250000	a023_030210
Lazuli Glintstone Sword	Straight Sword	1h Crouch R1	4.035	1.926	2.109	376	12	10.73	4.013	4.045	0.007	15	Weapons: 2250000	a023_030310
Lazuli Glintstone Sword	Straight Sword	1h Charged R2 1	4.304	2.4	1.904	1742	53	2.47	4.286	4.316	0.008	7	Weapons: 2250000	a113_030500
Lazuli Glintstone Sword	Straight Sword	1h R2 1 Release	4.007	2.043	1.964	552	17	7.26	3.96	4.014	0.019	7	Weapons: 2250000	a113_030505
Lazuli Glintstone Sword	Straight Sword	2h R1 1	3.557	1.939	1.618	467	15	7.62	3.556	3.558	0	31	Weapons: 2250000	a023_032000
Lazuli Glintstone Sword	Straight Sword	2h Running R1	5.268	3.553	1.716	539	17	9.77	5.231	5.313	0.03	14	Weapons: 2250000	a023_032200
Lazuli Glintstone Sword	Straight Sword	2h Running R2	5.739	4.131	1.608	616	19	9.32	5.538	5.824	0.087	17	Weapons: 2250000	a023_032210
Lazuli Glintstone Sword	Straight Sword	2h Crouch R1	3.612	1.667	1.946	368	12	9.82	3.602	3.65	0.016	8	Weapons: 2250000	a023_032310
Lazuli Glintstone Sword	Straight Sword	2h Charged R2 1	4.122	2.46	1.662	1735	53	2.38	4.093	4.161	0.028	6	Weapons: 2250000	a113_032500
Lazuli Glintstone Sword	Straight Sword	2h R2 1 Release	3.99	2.038	1.952	542	17	7.36	3.988	3.993	0.002	15	Weapons: 2250000	a113_032505
Lazuli Glintstone Sword+Lazuli Glintstone Sword	Straight Sword	Paired L1 1	4.066	2.19	1.876	448	14	9.08	4.066	4.067	0	9	Weapons: 2250000 2250000	a023_034000
Lazuli Glintstone Sword+Lazuli Glintstone Sword	Straight Sword	Paired Running L1	6.883	5.22	1.663	610	19	11.28	6.862	6.912	0.019	4	Weapons: 2250000 2250000	a023_034200
Lazuli Glintstone Sword+Lazuli Glintstone Sword	Straight Sword	Paired Crouch L1	3.629	1.749	1.88	400	13	9.07	3.615	3.634	0.008	4	Weapons: 2250000 2250000	a023_034310
Lazuli Glintstone Sword	Straight Sword	Offhand L1 1	3.791	2.318	1.473	472	15	8.03	3.738	3.802	0.024	6	Weapons: 2250000	a023_035000
Lazuli Glintstone Sword	Straight Sword	Glintstone Pebble - Thrust	6.251	4.298	1.952	676	21	9.25	6.24	6.258	0.009	5	Weapons: 2250000	a653_040010
Rotten Crystal Sword	Straight Sword	1h R1 1	3.839	1.791	2.048	458	14	8.38	3.822	3.842	0.004	210	Weapons: 2260000	a023_030000
Rotten Crystal Sword	Straight Sword	1h R1 2	2.888				1		2.822	2.957	0.023	28	Weapons: 2260000	a023_030010
Rotten Crystal Sword	Straight Sword	1h R1 3	3.105				1		3.065	3.132	0.016	15	Weapons: 2260000	a023_030020
Rotten Crystal Sword	Straight Sword	1h R1 4	2.679				1		2.665	2.71	0.011	11	Weapons: 2260000	a023_030030
Rotten Crystal Sword	Straight Sword	1h R1 5	3.466				1		3.393	3.508	0.042	10	Weapons: 2260000	a023_030040
Rotten Crystal Sword	Straight Sword	1h Running R1	5.049	3.844	1.204	535	17	9.44	5.015	5.08	0.018	14	Weapons: 2260000	a023_030200
Rotten Crystal Sword	Straight Sword	1h Running R2	5.663	3.809	1.854	582	18	9.73	5.567	5.749	0.067	19	Weapons: 2260000	a023_030210
Rotten Crystal Sword	Straight Sword	1h Crouch R1	4.085	1.94	2.145	369	12	11.07	4.052	4.095	0.01	22	Weapons: 2260000	a023_030310
Rotten Crystal Sword	Straight Sword	1h Charged R2 1	4.392	2.295	2.096	1169	36	3.76	4.391	4.393	0.001	8	Weapons: 2260000	a023_030500
Rotten Crystal Sword	Straight Sword	1h R2 1 Release	4.022	2.002	2.021	678	21	5.93	4.014	4.038	0.011	6	Weapons: 2260000	a023_030505
Rotten Crystal Sword	Straight Sword	2h R1 1	3.606	1.935	1.671	467	15	7.72	3.604	3.629	0.005	22	Weapons: 2260000	a023_032000
Rotten Crystal Sword	Straight Sword	2h Running R1	5.343	4.007	1.337	549	17	9.73	5.281	5.411	0.032	13	Weapons: 2260000	a023_032200
Rotten Crystal Sword	Straight Sword	2h Running R2	5.684	4.115	1.569	616	19	9.23	5.66	5.702	0.016	13	Weapons: 2260000	a023_032210
Rotten Crystal Sword	Straight Sword	2h Crouch R1	3.659	1.66	1.999	370	12	9.89	3.652	3.667	0.008	15	Weapons: 2260000	a023_032310
Rotten Crystal Sword	Straight Sword	2h Charged R2 1	4.063	2.505	1.558	1302	40	3.12	4.062	4.068	0.002	9	Weapons: 2260000	a023_032500
Rotten Crystal Sword	Straight Sword	2h R2 1 Release	4.075	2.294	1.781	723	22	5.64	4.074	4.077	0.001	7	Weapons: 2260000	a023_032505
Rotten Crystal Sword+Rotten Crystal Sword	Straight Sword	Paired L1 1	4.116	2.19	1.926	450	14	9.15	4.111	4.136	0.008	9	Weapons: 2260000 2260000	a023_034000
Rotten Crystal Sword+Rotten Crystal Sword	Straight Sword	Paired Running L1	6.907	5.216	1.691	610	19	11.32	6.894	6.912	0.008	4	Weapons: 2260000 2260000	a023_034200
Rotten Crystal Sword+Rotten Crystal Sword	Straight Sword	Paired Crouch L1	3.687	1.754	1.934	412	13	8.95	3.68	3.694	0.006	4	Weapons: 2260000 2260000	a023_034310
Rotten Crystal Sword	Straight Sword	Offhand L1 1	3.851	2.318	1.533	464	14	8.3	3.851	3.852	0	6	Weapons: 2260000	a023_035000
Rotten Crystal Sword	Straight Sword	Magma Shower - Spin (Spin Slash Curved Sword), Spinning Slash - Light Weapon Spin, Spinning Slash 1	4.392	2.319	2.073	616	19	7.13	4.389	4.394	0.002	3	Weapons: 2260000	a603_040000
Rotten Crystal Sword	Straight Sword	Magma Shower - Slash, Spinning Slash - Light Weapon Double Spin	4.225	2.131	2.094	616	19	6.86	4.217	4.238	0.01	3	Weapons: 2260000	a603_040010
Velvet Sword of St. Trina	Straight Sword	1h R1 1	3.947	1.772	2.175	450	14	8.77	3.935	3.949	0.003	86	Weapons: 2510000	a023_030000
Velvet Sword of St. Trina	Straight Sword	1h R1 2	2.994	0.973	2.021	395	12	7.58	2.981	2.996	0.004	28	Weapons: 2510000	a023_030010
Velvet Sword of St. Trina	Straight Sword	1h R1 3	3.218	1.12	2.098	452	14	7.12	3.208	3.221	0.004	10	Weapons: 2510000	a023_030020
Velvet Sword of St. Trina	Straight Sword	1h R1 4	2.785	0.861	1.924	445	14	6.26	2.785	2.787	0.001	9	Weapons: 2510000	a023_030030
Velvet Sword of St. Trina	Straight Sword	1h R1 5	3.621	1.396	2.224	382	12	9.48	3.619	3.621	0.001	7	Weapons: 2510000	a023_030040
Velvet Sword of St. Trina	Straight Sword	1h Running R1	5.244	3.888	1.356	477	15	10.99	5.149	5.291	0.04	9	Weapons: 2510000	a023_030200
Velvet Sword of St. Trina	Straight Sword	1h Running R2	5.686	33.661		453	14		5.679	5.699	0.009	3	Weapons: 2510000	a023_030210
Velvet Sword of St. Trina	Straight Sword	1h Crouch R1	4.2	1.873	2.327	357	11	11.76	4.195	4.206	0.005	19	Weapons: 2510000	a023_030310
Velvet Sword of St. Trina	Straight Sword	1h Charged R2 1	4.525	2.312	2.213	930	28	4.87	4.502	4.566	0.029	6	Weapons: 2510000	a023_030500
Velvet Sword of St. Trina	Straight Sword	1h R2 1 Release	4.129	1.984	2.145	634	20	6.51	4.117	4.148	0.008	8	Weapons: 2510000	a023_030505
Velvet Sword of St. Trina	Straight Sword	2h R1 1	3.711	1.987	1.725	440	14	8.43	3.71	3.712	0	16	Weapons: 2510000	a023_032000
Velvet Sword of St. Trina	Straight Sword	2h R1 2	2.543	0.919	1.624	430	13	5.91	2.53	2.583	0.02	5	Weapons: 2510000	a023_032010
Velvet Sword of St. Trina	Straight Sword	2h Running R1	5.402	3.964	1.438	554	17	9.75	5.37	5.433	0.026	3	Weapons: 2510000	a023_032200
Velvet Sword of St. Trina	Straight Sword	2h Running R2	5.769	3.93	1.839	256	8	22.53	5.74	5.786	0.02	3	Weapons: 2510000	a023_032210
Velvet Sword of St. Trina	Straight Sword	2h Crouch R1	3.768	1.686	2.082	373	12	10.1	3.762	3.778	0.008	3	Weapons: 2510000	a023_032310
Velvet Sword of St. Trina	Straight Sword	2h Charged R2 1	4.172	2.505	1.667	917	28	4.55	4.172	4.173	0	2	Weapons: 2510000	a023_032500
Velvet Sword of St. Trina	Straight Sword	2h R2 1 Release	4.183	2.314	1.87	584	18	7.16	4.183	4.183	0	3	Weapons: 2510000	a023_032505
Velvet Sword of St. Trina+Noble's Slender Sword	Straight Sword	Paired L1 1	4.216	2.065	2.151	416	13	10.13	4.214	4.237	0.006	15	Weapons: 2510000 2230000	a023_034000
Velvet Sword of St. Trina	Straight Sword	Offhand L1 1	3.962	1.86	2.102	447	14	8.86	3.958	3.963	0.001	16	Weapons: 2510000	a023_035000
Velvet Sword of St. Trina	Straight Sword	Oath of Vengeance	5.057	36.712		904	28		5.009	5.073	0.025	5	Weapons: 2510000	a911_040000
Star-Lined Sword	Katana	1h R1 1	3.901	1.9	2.001	401	13	9.73	3.899	3.904	0.001	25	Weapons: 2520000	a029_030000
Star-Lined Sword	Katana	1h Running R1	5.355	4.011	1.344	505	16	10.6	5.292	5.466	0.059	5	Weapons: 2520000	a029_030200
Star-Lined Sword	Katana	1h Running R2	6.333	34.343		440	14		6.25	6.425	0.059	8	Weapons: 2520000	a029_030210
Star-Lined Sword	Katana	1h Rolling R1	3.818	2.06	1.758	354	11	10.78	3.794	3.825	0.008	12	Weapons: 2520000	a029_030300
Star-Lined Sword	Katana	1h Charged R2 1	5.007	57.035		1006	31		4.985	5.051	0.031	3	Weapons: 2520000	a029_030500
Star-Lined Sword	Katana	1h R2 1 Release	4.648	2.213	2.435	681	21	6.83	4.642	4.657	0.006	10	Weapons: 2520000	a029_030505
Star-Lined Sword	Katana	2h R1 1	3.827	1.811	2.016	430	13	8.9	3.821	3.828	0.002	16	Weapons: 2520000	a029_032000
Star-Lined Sword	Katana	2h R1 2	2.731	1.222	1.509	420	13	6.5	2.701	2.74	0.015	5	Weapons: 2520000	a029_032010
Star-Lined Sword	Katana	2h Running R1	6.033	4.291	1.742	454	14	13.29	6.028	6.045	0.006	5	Weapons: 2520000	a029_032200
Star-Lined Sword	Katana	2h Running R2	6.564	4.145	2.419	498	15	13.18	6.491	6.648	0.062	6	Weapons: 2520000	a029_032210
